split,sequence,method,num_frames,psnr,ssim,sharpness,tde
calibration,011,RGB-HF-b0.40-s0.8,4,23.52115428159586,0.6415211409330368,0.0015528695948887616,0.0649491474032402
calibration,000,RGB-HF-b0.50-s0.3,4,27.215150184912503,0.7691026230653127,0.0016216173535212874,0.04072931781411171
calibration,003,RGB-HF-b0.50-s0.3,4,30.333147629544897,0.8965757886568706,0.0018997055885847658,0.026338689029216766
calibration,006,RGB-HF-b0.50-s0.3,4,29.61472140274569,0.816391850511233,0.0009112368425121531,0.02968749590218067
calibration,010,RGB-HF-b0.50-s0.3,4,31.406169627357126,0.876623863975207,0.0007223865104606375,0.02182871289551258
calibration,011,RGB-HF-b0.50-s0.3,4,23.545091293873853,0.6460746675729752,0.0019540759967640042,0.06459928303956985
calibration,000,RGB-HF-b0.50-s0.4,4,27.218606941768037,0.7690312216679255,0.00159973549307324,0.040742602199316025
calibration,003,RGB-HF-b0.50-s0.4,4,30.343548035924268,0.8969216148058573,0.0018741349049378186,0.026319608092308044
calibration,006,RGB-HF-b0.50-s0.4,4,29.618555954913496,0.8164553741614023,0.0009026344050653279,0.029695138335227966
calibration,010,RGB-HF-b0.50-s0.4,4,31.406934967739147,0.8768127858638765,0.0007157389336498454,0.021849483251571655
calibration,011,RGB-HF-b0.50-s0.4,4,23.546182720182973,0.6456566055615743,0.0019262336136307567,0.06461779028177261
calibration,000,RGB-HF-b0.50-s0.5,4,27.21524883189308,0.7685199131568273,0.0014685961359646171,0.04080190137028694
calibration,003,RGB-HF-b0.50-s0.5,4,30.34468885302561,0.8971235702435175,0.0017301079933531582,0.0263279527425766
calibration,006,RGB-HF-b0.50-s0.5,4,29.61585297820968,0.8162134240070978,0.0008348709816345945,0.02972843311727047
calibration,010,RGB-HF-b0.50-s0.5,4,31.397781055616672,0.8768236090739567,0.0006637263722950593,0.02190214954316616
calibration,011,RGB-HF-b0.50-s0.5,4,23.54313402066203,0.6445946941773097,0.001774535863660276,0.06468454748392105
calibration,000,RGB-HF-b0.50-s0.8,4,27.14815709091856,0.7648583352565765,0.001194947661133483,0.04125417768955231
calibration,003,RGB-HF-b0.50-s0.8,4,30.242523442196276,0.8952479312817255,0.0014285517390817404,0.02671455405652523
calibration,006,RGB-HF-b0.50-s0.8,4,29.551149396345124,0.8134429653485616,0.0006858022097731009,0.030019620433449745
calibration,010,RGB-HF-b0.50-s0.8,4,31.314533529969367,0.8750422596931458,0.0005454125493997708,0.022193225100636482
calibration,011,RGB-HF-b0.50-s0.8,4,23.50432211103159,0.639771282672882,0.0014578647096641362,0.06513386219739914
calibration,000,RGB-HF-b0.60-s0.3,4,27.215263316922385,0.7691028813521068,0.0016215938958339393,0.04072955250740051
calibration,003,RGB-HF-b0.60-s0.3,4,30.333440083004234,0.8965848038593928,0.00189968355698511,0.0263382438570261
calibration,006,RGB-HF-b0.60-s0.3,4,29.614843467358238,0.8163947264353435,0.0009111421968555078,0.029687635600566864
calibration,010,RGB-HF-b0.60-s0.3,4,31.406229188991425,0.876629501581192,0.0007222090353025123,0.021829135715961456
