split,sequence,frame,method,psnr,ssim,sharpness
test,029,00000080,ControlNet-FUGR,26.43401616988484,0.794721265633901,0.000388813903555274
test,018,00000020,BasicVSR,23.882594416316664,0.5952807267506918,0.0016843808116391301
test,018,00000040,BasicVSR,24.4330821199326,0.619265059630076,0.0015260570216923952
test,018,00000060,BasicVSR,24.855955064686682,0.6437223752339681,0.0015100619057193398
test,018,00000080,BasicVSR,25.322746355990326,0.6454180280367533,0.001353774219751358
test,020,00000020,BasicVSR,28.386868889149042,0.8056970636049906,0.0009711247403174639
test,020,00000040,BasicVSR,26.859277287591638,0.7817493279774984,0.0013175301719456911
test,020,00000060,BasicVSR,27.03385077331127,0.7770018776257833,0.0011818547500297427
test,020,00000080,BasicVSR,27.19144923128834,0.7834442059199015,0.0011681829346343875
test,026,00000020,BasicVSR,32.05514164841243,0.8628972371419271,0.0008099687984213233
test,026,00000040,BasicVSR,33.36932707864239,0.8839859366416931,0.0007221790729090571
test,026,00000060,BasicVSR,32.469521402138696,0.8732489546140035,0.0007698388653807342
test,026,00000080,BasicVSR,33.57141214225554,0.8922181328137716,0.0007375444984063506
test,028,00000020,BasicVSR,33.36960990412497,0.9295997222264608,0.0010921208886429667
test,028,00000040,BasicVSR,32.92486596112158,0.8794891039530436,0.0011078479001298547
test,028,00000060,BasicVSR,32.973211591793216,0.8995495041211446,0.0013949604472145438
test,028,00000080,BasicVSR,34.741826877847664,0.9336120088895162,0.001156251528300345
test,029,00000020,BasicVSR,35.232299113285,0.9386029243469238,0.0007763443281874061
test,029,00000040,BasicVSR,33.628532909588706,0.9313698609670004,0.0008996105170808733
test,029,00000060,BasicVSR,33.4379769339205,0.9320085644721985,0.0006210695137269795
test,029,00000080,BasicVSR,35.34076215080957,0.9416732986768087,0.0005320216296240687
calibration,000,00000020,RGB-HF-b0.05-s0.3,27.336563072373423,0.7373732725779215,0.0013564919354394078
calibration,000,00000040,RGB-HF-b0.05-s0.3,27.006691882538092,0.7757404446601868,0.0015311475144699216
calibration,000,00000060,RGB-HF-b0.05-s0.3,27.384240479818622,0.7835171024004618,0.001878770999610424
calibration,000,00000080,RGB-HF-b0.05-s0.3,27.13099279062896,0.7797747055689493,0.0017198825953528285
calibration,003,00000020,RGB-HF-b0.05-s0.3,31.44101722324736,0.9133116404215494,0.001766824978403747
calibration,003,00000040,RGB-HF-b0.05-s0.3,30.594050441965063,0.9028777281443278,0.0015276562189683318
calibration,003,00000060,RGB-HF-b0.05-s0.3,29.968258634673745,0.8901717265446981,0.0019304790766909719
calibration,003,00000080,RGB-HF-b0.05-s0.3,29.32386149108393,0.8797743916511536,0.0023751151748001575
calibration,006,00000020,RGB-HF-b0.05-s0.3,30.986416570679765,0.851555347442627,0.0006840034038759768
calibration,006,00000040,RGB-HF-b0.05-s0.3,29.821133508628094,0.8261035879453024,0.0008058817475102842
calibration,006,00000060,RGB-HF-b0.05-s0.3,30.251131309845803,0.8333690365155538,0.000782299495767802
calibration,006,00000080,RGB-HF-b0.05-s0.3,27.397935960948878,0.7544844349225363,0.001373956329189241
calibration,010,00000020,RGB-HF-b0.05-s0.3,32.08367796364563,0.8895536065101624,0.000759449671022594
calibration,010,00000040,RGB-HF-b0.05-s0.3,31.340234783749015,0.8724652330080668,0.0007082727388478816
calibration,010,00000060,RGB-HF-b0.05-s0.3,30.91712111720168,0.8667877912521362,0.000698127958457917
calibration,010,00000080,RGB-HF-b0.05-s0.3,31.282467381699863,0.8775883515675863,0.0007276486721821129
calibration,011,00000020,RGB-HF-b0.05-s0.3,24.5652807513737,0.6900385220845541,0.0020148337353020906
calibration,011,00000040,RGB-HF-b0.05-s0.3,23.889386907780956,0.6591259042421976,0.0020315400324761868
calibration,011,00000060,RGB-HF-b0.05-s0.3,22.985269808605516,0.6168282628059387,0.001969055039808154
calibration,011,00000080,RGB-HF-b0.05-s0.3,22.739595198647248,0.618438720703125,0.0017998262774199247
calibration,000,00000020,RGB-HF-b0.05-s0.4,27.33714824572732,0.73736439148585,0.0013564970577135682
calibration,000,00000040,RGB-HF-b0.05-s0.4,27.007280700524955,0.7757441600163778,0.0015310740564018488
calibration,000,00000060,RGB-HF-b0.05-s0.4,27.38482325324572,0.7835265398025513,0.0018790223402902484
calibration,000,00000080,RGB-HF-b0.05-s0.4,27.13142867556893,0.7797722816467285,0.0017197318375110626
calibration,003,00000020,RGB-HF-b0.05-s0.4,31.441988166706814,0.9133490920066833,0.001766243134625256
calibration,003,00000040,RGB-HF-b0.05-s0.4,30.594326095649983,0.9029056628545126,0.0015269677387550473
calibration,003,00000060,RGB-HF-b0.05-s0.4,29.9709195387932,0.8902273774147034,0.001930208527483046
calibration,003,00000080,RGB-HF-b0.05-s0.4,29.325579625012693,0.8798256317774454,0.0023753123823553324
