split,sequence,method,num_frames,psnr,ssim,sharpness,edge_psnr,flat_psnr,hf_mae,tde
calibration,003,ControlNet-FUGR,4,22.13363927032229,0.6910344560941061,0.0012040549627272412,17.73946292766674,24.644950602813708,0.013452159240841866,0.07612888763348262
calibration,006,ControlNet-FUGR,4,22.67278841903714,0.5988702625036239,0.0007220472471090034,18.653682975622132,24.782675548847937,0.015502766473218799,0.07082548240820567
calibration,010,ControlNet-FUGR,4,24.7910515260002,0.7159938712914785,0.0005247124790912494,20.077340506339365,27.719166822261514,0.011005196254700422,0.054306248823801674
calibration,011,ControlNet-FUGR,4,18.972890237775616,0.4197258278727532,0.0014670107630081475,15.814884580857772,20.326710429746154,0.03344053588807583,0.11464264740546544
calibration,000,FreqFusion-selected-b0.60-s0.4,4,27.21887354401816,0.7689971824487051,0.0015850549098104239,22.402032624647042,30.310114347177723,0.017421269323676825,0.04074676955739657
calibration,003,FreqFusion-selected-b0.60-s0.4,4,30.344938470847847,0.8969779511292776,0.001858125877333805,24.950738787386467,34.53979262217106,0.010064173955470324,0.026316796739896137
calibration,006,FreqFusion-selected-b0.60-s0.4,4,29.618908522473554,0.8164528012275696,0.0008959335100371391,24.7100559046513,32.93546208343816,0.013093518791720271,0.02969735550383727
calibration,010,FreqFusion-selected-b0.60-s0.4,4,31.40657080131138,0.8768395781517029,0.0007105890399543568,25.620595969862507,36.604164587803204,0.009101245552301407,0.021854454651474953
calibration,011,FreqFusion-selected-b0.60-s0.4,4,23.546163312002683,0.6455490589141846,0.0019094460003543645,20.093665839009653,25.126963227124634,0.030057502444833517,0.06462303300698598
calibration,000,FreqFusion-expandedbest-b0.30-s0.5,4,27.218672106192578,0.7688892831405003,0.0015560824540443718,22.401005801342876,30.311184568650123,0.017417127266526222,0.040757857263088226
calibration,003,FreqFusion-expandedbest-b0.30-s0.5,4,30.346274893040537,0.8970352113246918,0.0018257911724504083,24.94972727041695,34.54669582519736,0.010049786418676376,0.026315500338872273
calibration,006,FreqFusion-expandedbest-b0.30-s0.5,4,29.618826082378668,0.8164038608471552,0.0008817834459478036,24.708439224655887,32.93815288279278,0.013087138766422868,0.029703355704744656
calibration,010,FreqFusion-expandedbest-b0.30-s0.5,4,31.404971131298655,0.8768446693817774,0.0006994016439421102,25.617226951048572,36.60811420933627,0.009096240857616067,0.0218656025826931
calibration,011,FreqFusion-expandedbest-b0.30-s0.5,4,23.545765450454923,0.6453141421079636,0.0018760033999569714,20.092620876801124,25.127119939873296,0.030057331547141075,0.06463588525851567
test,018,BasicVSR,4,24.623594489231564,0.6259215474128723,0.0015185684897005558,21.451169807847556,25.98774586809746,0.027616015635430813,0.06122647970914841
test,020,BasicVSR,4,27.367861545335074,0.7869731187820435,0.0011596731492318213,22.202696922393397,31.04805539318684,0.016356142703443766,0.038662124425172806
test,026,BasicVSR,4,32.86635056786227,0.8780875653028489,0.0007598828087793663,27.91902857870447,36.16001233725076,0.00815139792393893,0.01966211013495922
test,028,BasicVSR,4,33.50237858372186,0.9105625847975414,0.0011877951910719275,28.012135104112556,38.05657847606522,0.00744326482526958,0.01859180877606074
test,029,BasicVSR,4,34.409892776900946,0.9359136621157329,0.0007072614971548319,28.388633416866693,40.51145902027049,0.00615427759476006,0.015522851298252741
test,018,FUGR-C,4,24.6292374452174,0.6258672475814819,0.0015245154791045934,21.458236078332707,25.992412207744678,0.02760295057669282,0.06118657439947128
test,020,FUGR-C,4,27.370255110492813,0.7869759748379389,0.0011662014003377408,22.204099447545318,31.05237352838153,0.016351499129086733,0.038647991915543876
test,026,FUGR-C,4,32.88681668565649,0.8781935175259907,0.0007601549150422215,27.942100719625035,36.176226504838574,0.008138847537338734,0.01961958035826683
test,028,FUGR-C,4,33.54929112582312,0.9110194444656372,0.0012052046658936888,28.06599439827099,38.08586975848843,0.007405141601338983,0.018498504534363747
