split,sequence,frame,method,psnr,ssim,sharpness,edge_psnr,flat_psnr,hf_mae
all40,018,00000020,ControlNet-FUGR,18.719096127228216,0.3158784707387288,0.0013861171901226044,16.11958946205704,19.714732744371563,0.03413333371281624
all40,018,00000040,ControlNet-FUGR,19.016176906196367,0.3231714566548665,0.0014079377287998796,16.47523398955287,19.978709388530774,0.03148489072918892
all40,018,00000060,ControlNet-FUGR,19.30722835758679,0.35119153062502545,0.0013495750026777387,16.60279136001656,20.364099138696993,0.029208442196249962
all40,018,00000080,ControlNet-FUGR,19.755845846345252,0.3673931658267975,0.001083076698705554,17.054614258896898,20.81086803069825,0.027791079133749008
all40,020,00000020,ControlNet-FUGR,22.000140325241347,0.5980432430903116,0.0007265284075401723,17.675991540460554,24.41592611653028,0.016518862918019295
all40,020,00000040,ControlNet-FUGR,21.107710105852227,0.5736100872357687,0.0008769811247475445,16.591335587558437,23.761869542359623,0.019617000594735146
all40,020,00000060,ControlNet-FUGR,21.464092701748456,0.577564020951589,0.0008194413385353982,16.984774488962078,24.070362290543006,0.019349409267306328
all40,020,00000080,ControlNet-FUGR,21.3929964199683,0.5796168645222982,0.0008486940059810877,16.899590397755514,24.017575562980834,0.018997255712747574
all40,026,00000020,ControlNet-FUGR,24.68100514956972,0.691438635190328,0.00048613251419737935,20.401946393819873,27.044492536420712,0.01096392422914505
all40,026,00000040,ControlNet-FUGR,25.224697471020882,0.7167060971260071,0.0004755737027153373,21.093417513223255,27.423280902914303,0.009432150982320309
all40,026,00000060,ControlNet-FUGR,24.753626425660322,0.6936002969741821,0.00045203513582237065,20.58090045537082,26.997582995089495,0.010133015923202038
all40,026,00000080,ControlNet-FUGR,25.012125954921174,0.7199428280194601,0.0004735449037980288,20.849939607443545,27.24414501074538,0.009213559329509735
all40,028,00000020,ControlNet-FUGR,24.62262074964032,0.7785323262214661,0.00076117436401546,19.548782177590606,28.130573202371416,0.008914384059607983
all40,028,00000040,ControlNet-FUGR,24.45221455515322,0.7024113535881042,0.0007333100074902177,20.073070650396684,26.93375619076102,0.011203691363334656
all40,028,00000060,ControlNet-FUGR,23.968614991930956,0.725800613562266,0.0009198251063935459,19.233389760729416,26.925772213954478,0.010800902731716633
all40,028,00000080,ControlNet-FUGR,24.725039359562558,0.7717844446500143,0.0007339900475926697,19.99240718419798,27.680003298326795,0.00835328921675682
all40,029,00000020,ControlNet-FUGR,25.12633811833164,0.7773687839508057,0.0005910463514737785,20.30930445327229,28.206445053305593,0.00804891623556614
all40,029,00000040,ControlNet-FUGR,24.28575446628214,0.7543347676595052,0.0006635411991737783,19.324909342086055,27.598575661630743,0.00919562391936779
all40,029,00000060,ControlNet-FUGR,25.249953500591417,0.7701849142710367,0.0004649515321943909,20.172238759303124,28.765601693706877,0.008378582075238228
all40,029,00000080,ControlNet-FUGR,26.43401616988484,0.794721265633901,0.000388813903555274,21.190901103747834,30.26555787644036,0.007112926337867975
all40,000,00000020,FreqFusion-selected-b0.60-s0.4,27.34177133968217,0.7371625502904257,0.0013286273460835218,22.65173251709492,30.233146094650223,0.01786690019071102
all40,000,00000040,FreqFusion-selected-b0.60-s0.4,27.0116546646948,0.7756768465042114,0.0014955332735553384,21.93999651714514,30.515959399985995,0.016971711069345474
all40,000,00000060,FreqFusion-selected-b0.60-s0.4,27.38840244910167,0.7835207184155782,0.0018356143264099956,22.572224874898517,30.46715627168716,0.01713128760457039
all40,000,00000080,FreqFusion-selected-b0.60-s0.4,27.133665722594,0.7796286145846049,0.0016804446931928396,22.444176589449597,30.024195622387516,0.017715178430080414
all40,003,00000020,FreqFusion-selected-b0.60-s0.4,31.44721688350543,0.9136850635210673,0.0017240089364349842,25.83333754775499,36.14400926548919,0.008748123422265053
all40,003,00000040,FreqFusion-selected-b0.60-s0.4,30.59290453628712,0.903135359287262,0.0014954271027818322,24.993575696683372,35.248128441123136,0.009571488946676254
all40,003,00000060,FreqFusion-selected-b0.60-s0.4,29.998378684277718,0.8907856543858846,0.0018877957481890917,24.738300398578126,33.86384473253874,0.010246138088405132
all40,003,00000080,FreqFusion-selected-b0.60-s0.4,29.34125377932112,0.8803057273228964,0.0023252717219293118,24.23774150652939,32.903188049533185,0.011690945364534855
all40,006,00000020,FreqFusion-selected-b0.60-s0.4,30.98843223117569,0.8516651590665182,0.0006730204331688583,25.63682916442517,35.04825200147488,0.010355292819440365
all40,006,00000040,FreqFusion-selected-b0.60-s0.4,29.826873648435107,0.8262251814206442,0.0007931883446872234,24.762135353190864,33.3196151594706,0.012285246513783932
all40,006,00000060,FreqFusion-selected-b0.60-s0.4,30.260056376524865,0.833665152390798,0.0007695409585721791,25.19851791823108,33.74670374791275,0.01139048207551241
all40,006,00000080,FreqFusion-selected-b0.60-s0.4,27.40027183375856,0.7542557120323181,0.0013479843037202954,23.24274118275808,29.627277424894423,0.01834305375814438
all40,010,00000020,FreqFusion-selected-b0.60-s0.4,32.083881373396686,0.8897184133529663,0.0007454971200786531,26.232217546675773,37.48977932864356,0.008511614985764027
all40,010,00000040,FreqFusion-selected-b0.60-s0.4,31.338741291442123,0.8726821343104044,0.0006964459898881614,25.567887673892386,36.48517840013463,0.009370974265038967
